tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1338548709584408583,RT @Harry_Styles: Fine Line is one year old. I couldn’t be more grateful for you all continually finding new ways to change my life. Thank…,149484,0,Twitter for Android,2020-12-14 18:17:36
1338548709517369354,@backtojonah yea now u know how i felt when dinosaurs was at mcdonals🥴🥴,0,0,Twitter for Android,2020-12-14 18:17:36
1338548709513195523,RT @Cudalla: aye bro remember to steal food from ur fast food job if they don’t give u free meals,2269,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709513195522,RT @HornyFacts: Sex before bed = Best sleep ever,439,0,Twitter for Android,2020-12-14 18:17:36
1338548709508968450,RT @by_10ia: i've never seen winx club https://t.co/Ilaakve5sm,1874,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709492215812,@KassimOdion @Addebayo2 @nnayidavid @bigdaddyvinz Baba no no wetin im dey talk im neva enter Benin see men dey talk… https://t.co/KUyP7z1CGi,0,0,Twitter for Android,2020-12-14 18:17:36
1338548709488009216,RT @ShaaayMonique: @shanikkaaa_ thankssss and same to you 🤞🏽,1,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709487996931,"RT @gruntvegan: Why #veganism is the future

As so many restaurants are in trouble during pandemic, chef #MatthewKenney puts his faith in #…",2,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709483798530,"RT @IndySportsOne: Jonathan Taylor and Nyheim Hines combined for 33 touches, 240 yards(!) yesterday vs. the Raiders.

UNSTOPPABLE. 🔥 https:…",11,0,Twitter for Android,2020-12-14 18:17:36
1338548709483745280,"RT @Louis_Tomlinson: Always in my heart @Harry_Styles . Yours sincerely, Louis",2640979,0,Twitter for iPhone,2020-12-14 18:17:36
1338548709479550986,"This is #openinfra ! 

CERN continues to lead the way. https://t.co/dNZ5xfu5Up",0,0,Twitter Web App,2020-12-14 18:17:36
1338548709479550984,@MisterX_fn V why nd ergyt,0,0,Twitter Web App,2020-12-14 18:17:36
1338548709475442689,RT @KelemenCari: AUDIT all 50 states!!!,1630,0,Twitter for Android,2020-12-14 18:17:36
1338548709475426306,RT @briancallahan67: MHA Lela Evans asks for 100 per cent reimbursement of travel costs for medical issues.,1,0,Twitter for iPhone,2020-12-14 18:17:36
